id_cliente	frequencia_compra_ano	ticket_medio_historico	tempo_relacionamento_meses	recencia_dias	nro_categorias_compradas	categoria_preferida	canal_aquisicao	usa_aplicativo	idade	regiao	assinante_newsletter	genero	dispositivo_acesso	valor_total_gasto
E000001	4	98.07	21	598	3	casa_decoracao	organica	nao	47	Sudeste	sim	masculino	mobile	458.62
E000002	14	125.55	38	41	3	moda	paga_google	nao	53	Centro-Oeste	sim	masculino	tablet	6972.15
E000003	7	43.81	22	104	5	infantil	parceria	sim	57	Sudeste	sim	masculino	tablet	914.37
E000004	10	87.51	14	168	2	moda	organica	sim	44	Sudeste	nao	masculino	tablet	1079.54
E000005	4	69.42	8	240	1	moda	organica	nao	42	Sudeste	nao	masculino	desktop	164.84
E000006	2	60.69	31	162	1	beleza	parceria	nao	60	Sudeste	nao	masculino	desktop	281.8
E000007	3	102.79	16	157	2	eletronicos	organica	nao	38	Sul	nao	feminino	desktop	494.36
E000008	4	113.58	20	283	3	moda	paga_google	sim	18	Sudeste	sim	feminino	mobile	885.55
E000009	5	80.16	31	104	2	moda	organica	sim	38	Sudeste	sim	masculino	desktop	1463.94
E000010	3	173.15	24	134	3	casa_decoracao	email_marketing	nao	35	Nordeste	sim	masculino	mobile	1207.13
E000011	12	97.16	45	575	2	moda	paga_google	sim	32	Sudeste	sim	feminino	mobile	3014.5
E000012	3	172.74	53	108	2	eletronicos	paga_facebook	sim	49	Sudeste	nao	masculino	tablet	3922.35
E000013	1	57.45	12	256	1	esporte	email_marketing	sim	50	Sudeste	nao	masculino	desktop	62.87
E000014	1	82.7	29	108	1	alimentos_bebidas	paga_google	nao	49	Nordeste	sim	masculino	desktop	131.71
E000015	8	118.86	8	104	1	moda	paga_facebook	nao	31	Sul	nao	feminino	mobile	668.06
E000016	14	209.63	5	116	5	beleza	paga_google	sim	34	Nordeste	sim	masculino	tablet	1574.96
E000017	7	111.83	12	243	2	beleza	paga_google	nao	36	Nordeste	nao	feminino	mobile	480.55
